"species","corrected","family"
"Acalypha virginica","Acalypha virginica","Euphorbiaceae"
"Acer pseudoplatanus","Acer pseudoplatanus","Sapindaceae"
"Acer sp.","Acer","Sapindaceae"
"Acetosella vulgaris","Rumex acetosella","Polygonaceae"
"Achillea millefolium","Achillea millefolium","Asteraceae"
"Achnatherum hymenoides","Eriocoma hymenoides","Poaceae"
"Actinobole uliginosum","Actinobole uliginosum","Asteraceae"
"Agropyron repens","Elymus repens","Poaceae"
"Agropyron smithii","Elymus smithii","Poaceae"
"Agrostis canina","Agrostis canina","Poaceae"
"Agrostis capillaris","Agrostis capillaris","Poaceae"
"Agrostis scabra","Agrostis scabra","Poaceae"
"Agrostis stolonifera","Agrostis stolonifera","Poaceae"
"Aira elegantissima","Aira elegans","Poaceae"
"Ajuga reptans","Ajuga reptans","Lamiaceae"
"Alchemilla conjuncta","Alchemilla conjuncta","Rosaceae"
"Alchemilla glomerulans","Alchemilla glomerulans","Rosaceae"
"Alchemilla sp.","Alchemilla","Rosaceae"
"Allium textile","Allium textile","Amaryllidaceae"
"Alopecurus pratensis","Alopecurus pratensis","Poaceae"
"Alyssum desertorum","Alyssum desertorum","Brassicaceae"
"Ambrosia artemisiifolia","Ambrosia artemisiifolia","Asteraceae"
"Ambrosia psilostachya","Ambrosia psilostachya","Asteraceae"
"Ambrosia trifida","Ambrosia trifida","Asteraceae"
"Amelanchier lamarckii","Amelanchier × lamarckii","Rosaceae"
"Amorpha canescens","Amorpha canescens","Fabaceae"
"Andropogon gerardi","Andropogon gerardi","Poaceae"
"Andropogon virginicus","Andropogon virginicus","Poaceae"
"Antennaria dimorpha","Antennaria dimorpha","Asteraceae"
"Antennaria neglecta","Antennaria neglecta","Asteraceae"
"Anthosachne scabra","Anthosachne scabra","Poaceae"
"Anthoxanthum alpinum","Anthoxanthum nipponicum","Poaceae"
"Anthoxanthum odoratum","Anthoxanthum odoratum","Poaceae"
"Anthriscus sylvestris","Anthriscus sylvestris","Apiaceae"
"Arabis divaricarpa","Boechera divaricarpa","Brassicaceae"
"Arctotheca calendula","Arctotheca calendula","Asteraceae"
"Arenaria serpyllifolia","Arenaria serpyllifolia","Caryophyllaceae"
"Aristida contorta","Aristida contorta","Poaceae"
"Aristida stricta","Aristida stricta","Poaceae"
"Arrhenatherum elatius","Arrhenatherum elatius","Poaceae"
"Artemisia tripartita","Artemisia tripartita","Asteraceae"
"Arthraxon hispidus","Arthraxon hispidus","Poaceae"
"Asclepias ovalifolia","Asclepias ovalifolia","Apocynaceae"
